Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.4	0.52	0.035	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.4	0.52	0.037	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.4	0.54	0.036	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.4	0.54	0.037	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.4	0.60	0.046	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.4	0.60	0.049	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.5	0.56	0.044	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.5	0.55	0.043	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.3	0.61	0.044	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.3	0.60	0.044	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.3	0.55	0.036	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.3	0.55	0.037	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.3	0.56	0.035	0.06
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.3	0.56	0.035	0.06
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.2	0.61	0.041	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.2	0.60	0.040	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.2	0.60	0.041	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.2	0.61	0.041	0.07
